Category,Fee?,Support Name,Location1,Location2,Phone Number,Fax,Hours,Email,Link,,,BBY-SE2
Accessibility,No,BCIT Accessibility Services,BBY-SW1 Room 2360,,(604) 451-6963,(604) 432-8839,"M - F, 8:30 am to 4:30 pm",accessibility@bcit.ca,https://www.bcit.ca/accessibility/accessibility-contact/,,,
Counselling,No,Counselling and Student Development Office,BBY-SE16 Room 128,DTC,(604) 432-8608,(604) 431-7261,"M - F, 8:30 am - 4:30 pm",null,https://www.bcit.ca/counselling/contact/,,,
Counselling,No,Inkblot Therapy,Virtual,Virtual,null,null,null,null,https://inkblottherapy.com/bcit,,,
Counselling,No,Youth Mindfulness Program,null,null,null,null,null,null,https://app.smartsheet.com/b/form/5d5fb18f5a6f4fed8b006ad36698abac,,,
Financial,No,BCITSA Financial Webinars,null,null,null,null,null,null,https://app.smartsheet.com/b/form/d7ab77e3f76f45a6b40d2e25adff9d08,,,
Financial,No,Financial Support Services,null,null,null,null,null,null,https://app.smartsheet.com/b/form/e3bfced7574a4bada4ed4a233e748900,,,
Doctor,Varied,Virtual Doctor,Virtual,Virtual,null,null,null,null,https://www.mystudentplan.ca/myvirtualdoctor/en/bc,,,
Dental,Varied,Healthy Smile,BBY-SE2,null,(236) 412-2926,null,null,null,https://snapappointments.com/listing/2zg,,,
General,No,BCITSA Wellness,BBY-SE2,null,(604) 432-8649,null,"M - F, 8:00 am - 4:00 pm",wellness@bcitsa.ca,https://www.bcitsa.ca/student-services/wellness/,,,
General,Varied,BCITSA Extended Health & Dental Plan,BBY-SE2,null,(604) 456-8056,null,null,healthplan@bcitsa.ca,https://www.bcitsa.ca/health-dental/,,,
Massage Therapy,No,Zen Lounge,BBY-SE2,null,(604) 451-7987,null,null,ZenLounge@bcitsa.ca,https://outlook.office365.com/owa/calendar/ZenLounge@bcitsa.ca/bookings/,,,
Nutrition,No,Nutrition Coaching with the BCITSA,null,null,null,null,null,null,https://outlook.office365.com/owa/calendar/HealthCoachingwiththeBCITSA@bcitsa.ca/bookings/,,,
Doctor,No,Student Health Services,BBY-SE16 Room 127,null,(604) 432-8608,null,"M - W, F, 8:30 am - 4:30 pm",null,https://bcithealth.inputhealth.com/ebooking#new,,,
